date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2024-12-10,Extreme Greed,1596.0,39325.770231,3150424.08,0.8343722172751559,11.0
2024-12-11,Greed,1221.0,319051.55421699997,2194098.33,0.9863945578231292,12.0
2024-12-12,Extreme Greed,1932.0,599151.795008,4557189.87,0.9541284403669725,14.0
2024-12-13,Extreme Greed,1173.0,31935.901745,2880824.6399999997,0.9631901840490797,11.0
2024-12-14,Extreme Greed,1235.0,167801.39924400003,2369561.7800000003,0.9717607973421927,12.0
2024-12-15,Extreme Greed,1697.0,97525.315279,2583269.8100000005,0.8891257995735607,15.0
2024-12-16,Extreme Greed,1055.0,166774.344133,2740808.97,0.9798534798534798,13.0
2024-12-17,Extreme Greed,1941.0,219591.30517200002,5233597.63,0.9702176403207331,16.0
2024-12-18,Extreme Greed,1429.0,13682.994673000001,3798887.0699999994,0.7039030955585465,13.0
2024-12-19,Extreme Greed,3339.0,62744.004486000005,8241709.39,0.9348816029143898,13.0
2024-12-20,Greed,2488.0,254969.66003899998,7681274.709999999,0.9350912778904665,15.0
2024-12-21,Greed,1681.0,150022.16315699997,4382875.12,0.9892933618843683,8.0
2024-12-22,Greed,774.0,352197.16397299996,3087320.2199999997,0.9546742209631728,8.0
2024-12-23,Greed,2347.0,-29430.626577000025,6771878.26,0.48504273504273504,14.0
2024-12-24,Greed,338.0,14813.780116000002,1767036.11,0.6666666666666666,11.0
2024-12-25,Greed,208.0,756.6570469999999,347889.35,0.7682926829268293,6.0
2024-12-26,Extreme Greed,697.0,60228.63972200001,2205242.65,0.9649595687331537,7.0
2024-12-27,Greed,260.0,2672.8110349999997,347913.0,0.9482758620689655,7.0
2024-12-28,Greed,161.0,940.673623,281555.01,0.8043478260869565,7.0
2024-12-29,Greed,201.0,2884.067927,344628.54,1.0,7.0
2024-12-30,Greed,304.0,9009.738137,1073865.73,0.9836065573770492,9.0
2024-12-31,Greed,306.0,5445.01281,877164.6199999999,0.92,6.0
2025-01-01,Greed,96.0,-9528.065345,282582.1,0.9666666666666667,6.0
2025-01-02,Greed,361.0,8716.519087,774674.8399999999,0.9821428571428571,9.0
2025-01-03,Greed,508.0,6028.486792999999,771208.99,0.8466257668711656,9.0
2025-01-04,Greed,371.0,2553.5379679999996,1826029.62,0.8823529411764706,9.0
2025-01-05,Greed,239.0,3187.719363,451943.56999999995,0.9615384615384616,8.0
